SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
13000000;6;2;0,1027;0,26966;0,19101;0,0273;0,00161;0,0112;0,11396;101,169;0,155
6200000;2;2;0,1057;0,17445;0,09828;0,027;0,00983;0,0025;0,12531;101,744;-0,164
4200000;4;1;0,0376;0,29902;0,21895;0,0147;0,00654;0,018;0,08987;100,252;0,096
16500000;0;0;0,0822;0,25164;0,15296;0,0345;0,00164;0,0132;0,12829;100,885;0,091
21600000;0;0;0,0778;0,26796;0,20958;0,0165;0,00599;0,018;0,10329;101,013;0,061
14000000;2;0;0,0855;0,25249;0,14115;0,0577;0,00795;0,006;0,14911;101,134;0,182
1300000;24;0;0,0508;0,27005;0,19786;0,016;0,01337;0,0054;0,13369;101,546;0,068
900000;17;1;0,0907;0,23542;0,13175;0,054;0,00648;0,0086;0,15335;98,6618;0,138
1165000;27;3;0,0303;0,25253;0,15657;0,0303;0,00505;0,0152;0,12626;101,022;-0,063
460000;4;0;0,0597;0,21899;0,14701;0,0169;0,00613;0,0077;0,10873;98,7484;-0,155
401200;5;0;0,0884;0,22652;0,14641;0,0276;0,00276;0,0111;0,09116;99,6348;-0,024
4500000;0;0;0,052;0,19622;0,13239;0,0236;0,01655;0,0047;0,08274;94,9601;-0,239
415000;0;0;0,0915;0,16768;0,11585;0,0274;0,0122;0,0061;0,12805;101,041;-0,284
440000;67;0;0,0458;0,28333;0,18333;0,0375;0,00833;0,0083;0,16667;99,6721;0,14
407000;27;7;0,0763;0,24576;0,18644;0,0085;0;0,0254;0,11864;101,393;-0,102
7000000;15;1;0,1373;0,21864;0,15424;0,017;0,00847;0,0068;0,09831;101,625;-0,02
405000;1;0;0,0328;0,20765;0,16393;0,0109;0;0,0219;0,06557;99,7995;-0,298
1975000;17;4;0,0669;0,22305;0,18959;0,0019;0,00558;0,0205;0,04833;102,535;-0,231
700000;1;0;0,0772;0,28302;0,17496;0,0309;0,01201;0,0086;0,12178;101,163;0,247
406000;2;0;0,0887;0,22175;0,12017;0,0315;0,00715;0,0043;0,1216;102,46;-0,023
1500000;2;0;0,0618;0,26848;0,15385;0,0317;0,01056;0,0121;0,10106;102,564;0,125
2000000;4;1;0,1;0,188;0,144;0,012;0,004;0,012;0,096;99,3512;-0,239
2750000;35;0;0,0976;0,24579;0,18182;0,0135;0,01684;0,0067;0,12795;99,23;0,001
12333333;10;0;0,1685;0,29963;0,21161;0,0412;0,00749;0,0038;0,14045;98,7024;0,531
13326306;2;0;0,1203;0,19502;0,12241;0,0394;0,00207;0,0083;0,11826;101,764;-0,073
9000000;6;0;0,0527;0,25949;0,18354;0,0253;0,00422;0,0106;0,12447;98,5038;0,015
1250000;11;0;0,0182;0,16364;0,16364;0;0;0,0182;0,07273;99,4418;-0,628
2200000;49;3;0,0841;0,19938;0,13084;0,0249;0,01246;0,0031;0,16511;99,1913;-0,171
9666666;4;0;0,1332;0,26187;0,17611;0,0184;0,00766;0,0092;0,09648;95,3579;0,232
